index,gender,occupation,educational_qualification,income,installment,arrears,deposit,shopping_frequency,average_cost,ages,number_of_browsing,number_of_raise,passive_income
8532,0,1,5,103809,9,0,135275,4,24449,28,2,1,32842
8533,1,1,1,61300,24,0,144867,7,3000,32,6,1,5581
8534,0,0,4,28000,6,0,30000,8,44540,30,2,0,13177
8535,1,1,4,81622,0,1,93796,0,64010,25,5,1,22432
8536,0,1,3,28000,0,0,191330,0,44231,40,1,0,2418
8537,1,1,3,94393,36,0,147425,7,13779,35,7,0,9411
8538,0,1,4,62710,3,0,51370,6,29455,37,7,2,6055
8539,1,0,3,28000,3,0,91604,0,9908,35,7,0,3706
8540,1,0,4,125853,6,0,60914,1,23251,30,1,1,2319
8541,1,0,4,37579,6,0,88190,0,28004,21,3,0,5609
8542,1,1,1,112390,9,1,30000,5,3000,21,6,0,20653
8543,1,1,4,96120,6,0,30000,9,34216,41,2,2,7725
8544,0,0,3,68939,0,0,130497,5,3000,28,2,3,8135
8545,0,1,4,94275,0,0,30000,1,3000,36,7,0,4851
8546,0,0,5,82501,3,0,31435,1,4629,25,8,0,12591
8547,1,1,2,93707,24,0,159394,7,42845,35,2,1,1371
8548,1,0,2,59570,6,0,219987,7,24444,44,7,0,3334
8549,1,1,2,28000,24,0,30000,2,10627,35,1,0,15688
8550,0,1,4,28000,48,0,37431,0,19236,37,3,1,3187
8551,1,1,4,28000,3,1,70488,2,20182,34,8,0,12049
8552,1,1,1,99176,18,0,134320,10,21183,45,9,0,255
8553,0,1,4,62383,18,0,33681,10,40541,40,1,0,507
8554,1,1,3,28000,0,0,102213,3,3000,33,7,1,2178
8555,1,0,4,28000,24,0,199487,4,78443,32,9,1,2527
8556,0,1,3,40677,9,0,57005,10,75335,22,9,2,2542
8557,0,0,2,56482,0,0,30000,9,3000,31,5,0,14377
8558,0,1,3,97062,6,0,164952,6,3000,21,10,1,5677
8559,0,1,3,28000,3,1,142600,5,7661,35,4,1,3152
8560,1,1,4,85432,9,0,111426,3,32569,26,10,0,2468
8561,1,1,3,28000,3,0,30000,5,34936,36,7,0,5793
8562,0,1,3,69388,0,0,107015,3,3000,44,3,0,5951
8563,0,1,4,95423,18,0,55631,3,3000,24,3,0,8292
8564,1,1,4,36359,6,0,108146,2,50055,40,8,2,10783
8565,1,0,3,133878,12,0,72815,4,22810,34,2,1,391
8566,0,1,5,86713,6,0,168650,0,3000,31,1,1,22515
8567,0,1,3,28000,0,0,89985,2,3000,30,9,0,1115
8568,0,1,4,142443,36,0,30000,6,80100,21,1,2,7677
8569,1,1,3,28000,0,0,46944,2,64676,26,8,1,8582
8570,1,1,5,28000,6,1,199108,2,3000,40,9,0,3276
8571,0,1,3,76672,0,1,111435,2,20072,29,10,0,5040
8572,1,1,5,28000,9,0,135135,0,12184,31,8,0,2812
8573,1,1,3,28000,0,0,54193,7,11031,33,6,0,31571
8574,1,1,4,98844,3,0,142456,3,3000,34,8,0,2780
8575,0,1,4,35045,9,0,30000,0,54613,21,3,0,5318
8576,1,1,4,31403,0,0,136267,2,3000,40,10,0,18823
8577,0,0,2,28000,6,1,55537,0,3000,34,2,0,3453
8578,0,1,4,28000,6,1,148028,3,23092,23,6,0,2847
8579,0,1,3,85018,9,0,93701,8,6656,24,6,0,5000
8580,1,1,4,28000,0,0,30000,5,3000,40,7,0,1799
8581,1,0,5,101366,6,1,112216,2,3026,34,4,0,9449
8582,0,0,4,28000,0,0,93185,10,24913,33,4,0,4594
8583,0,0,4,63914,12,0,129718,9,22137,34,10,0,11675
8584,1,0,3,28000,24,0,155612,3,3000,22,7,0,9858
8585,0,0,4,120578,24,0,91191,10,65737,21,1,0,4299
8586,1,1,2,28000,6,0,61874,2,24152,37,2,1,1251
8587,0,1,5,110914,12,0,45471,2,35549,25,1,0,13207
8588,0,1,1,28000,24,0,30000,1,36333,28,3,0,9005
8589,1,0,4,103127,6,0,66565,6,30191,30,9,2,38587
8590,0,0,3,28000,36,0,104898,5,7944,38,3,0,15438
8591,1,1,5,28000,18,0,30000,1,33197,33,5,0,11158
8592,0,1,4,28000,6,0,107542,7,3000,23,10,0,9017
8593,1,1,4,140755,12,0,30000,0,50816,40,10,1,3306
8594,1,1,4,141879,3,0,30000,9,48215,30,8,1,1573
8595,0,1,3,135282,18,0,30000,8,3000,26,5,0,3559
8596,0,1,2,77326,36,0,30000,5,78176,36,2,1,4956
8597,0,1,2,115941,3,0,30000,6,34708,38,3,2,8421
8598,1,0,4,28000,0,0,69063,9,22550,34,4,0,15103
8599,0,0,5,28000,9,0,130101,2,91164,34,4,1,33260
8600,1,1,3,73528,0,1,53010,6,19125,36,7,0,4772
8601,0,0,3,28000,0,0,30000,7,39347,23,7,0,21648
8602,0,1,4,52685,0,1,121168,6,14470,34,5,0,3701
8603,0,1,4,28000,48,0,240750,3,58987,32,1,0,1702
8604,1,1,3,138077,0,0,100672,10,20044,23,4,0,16939
8605,1,1,4,84789,18,0,150470,7,23248,43,10,0,12574
8606,1,1,4,28000,9,0,140787,7,3000,28,2,1,4670
8607,0,1,1,89661,6,1,64494,9,32689,20,4,0,11496
8608,0,0,4,28000,0,0,143741,7,12618,28,3,2,11371
8609,1,1,1,138298,18,0,45614,5,16694,29,8,0,2433
8610,0,0,4,82250,6,0,153398,1,27189,28,10,1,3036
8611,1,0,1,28000,12,0,96245,3,26697,26,7,2,3940
8612,1,1,4,88000,9,0,30000,3,20240,31,8,1,24326
8613,0,1,4,29523,0,0,193157,4,16014,33,6,2,5102
8614,0,1,2,100050,6,0,111622,10,23421,26,8,1,10428
8615,0,0,5,63000,0,0,70848,0,54966,36,3,1,889
8616,1,0,4,28000,18,0,264200,4,30738,21,6,1,5639
8617,1,1,4,59632,48,1,30000,0,15735,26,10,0,1531
8618,0,1,4,30101,12,0,30000,1,81482,28,3,2,5051
8619,1,0,1,47313,3,1,110984,8,25740,36,6,1,1729
8620,1,1,5,90543,12,0,136915,1,32347,31,6,0,8472
8621,1,1,1,33895,24,0,123628,0,11952,36,2,1,7029
8622,1,0,4,28000,9,0,119930,3,29262,34,10,1,8553
8623,0,1,5,92257,0,0,114149,10,3000,28,9,0,14687
8624,1,1,5,50202,3,0,30000,3,13691,37,2,2,2249
8625,1,1,3,28000,18,0,30000,10,17895,31,7,3,5100
8626,0,1,4,121880,0,0,30000,2,3000,40,7,1,2806
8627,0,1,3,29028,0,1,109643,7,46198,35,1,1,5474
8628,1,0,4,28000,0,0,81067,0,37390,29,3,1,2184
8629,0,1,4,39337,3,2,30000,1,44692,40,3,1,7552
8630,0,1,4,54434,0,0,46236,5,72889,34,3,0,4967
8631,1,0,4,93770,24,0,92654,1,3000,40,9,0,3140
8632,1,1,4,88050,9,0,30000,7,8644,26,4,0,6542
8633,0,1,4,181427,3,0,165860,7,36114,33,7,2,6167
8634,1,1,5,28000,0,0,30000,0,8993,35,7,1,1775
8635,1,1,4,36047,9,0,180551,6,36874,39,10,3,29171
8636,1,1,4,38911,24,0,118696,10,72069,31,5,1,22802
8637,0,1,2,70019,6,0,30000,4,25002,31,6,0,3589
8638,1,1,4,37433,18,1,151186,0,37158,43,3,0,4580
8639,1,1,4,28000,9,0,30000,2,11668,26,1,0,4417
8640,1,1,4,28000,24,0,30000,2,30910,30,2,0,9364
8641,0,1,4,40345,18,1,59569,10,43406,20,7,1,7387
8642,1,1,3,69978,12,2,30000,0,76341,35,5,0,2258
8643,1,1,4,67604,0,0,132655,0,3000,34,5,1,6696
8644,1,1,3,69219,3,0,55385,9,39571,22,7,2,11328
8645,1,0,5,33192,6,1,39278,0,28294,23,1,1,4431
8646,1,1,2,38770,9,0,30000,5,8236,44,2,1,6779
8647,1,1,4,55113,24,0,133583,2,4119,35,1,1,8317
8648,1,1,3,63311,3,0,95905,8,37484,25,6,0,4818
8649,0,1,4,28000,0,0,30000,2,63555,27,9,0,3898
8650,1,1,3,58336,0,2,131681,7,3000,28,3,1,6720
8651,1,0,4,80533,0,0,81533,5,7306,33,10,0,13776
8652,1,1,1,95815,0,0,30000,0,29462,37,3,2,5207
8653,0,1,4,104565,6,0,30000,5,47376,35,9,1,11810
8654,0,1,4,67259,18,0,30000,0,15397,27,6,1,28
8655,0,1,5,35246,0,0,120237,4,58458,43,10,0,4613
8656,0,1,4,76029,3,0,30000,6,30967,33,7,0,13874
8657,1,1,3,36070,6,0,57104,10,3000,25,10,1,3792
8658,0,0,4,94407,24,0,131095,8,87958,35,8,0,1864
8659,1,1,4,68488,24,0,155586,1,18286,36,2,0,2682
8660,1,1,3,28000,18,0,130723,1,62034,25,3,1,953
8661,1,1,3,46521,24,0,107902,10,14902,41,6,0,1468
8662,0,0,1,84229,3,2,67570,7,54198,31,2,0,12448
8663,0,1,2,28205,6,0,36058,5,41979,37,2,1,1195
8664,0,0,3,44386,0,0,30000,3,3000,35,8,1,7834
8665,0,0,4,70009,3,0,30000,0,44411,43,8,0,4408
8666,0,0,4,52672,3,0,120963,7,10094,37,1,0,700
8667,1,1,3,28000,3,0,44904,0,19627,20,5,0,2912
8668,0,1,5,28000,0,0,98494,5,14884,28,5,2,4096
8669,1,1,3,84961,24,0,39046,10,10817,29,7,1,1945
8670,1,1,2,28000,9,0,88011,5,4306,30,9,0,9301
8671,0,1,4,38549,9,0,94354,2,70504,25,1,1,2204
8672,0,1,2,156761,0,0,30000,10,3000,22,10,0,30685
8673,1,1,4,43604,3,1,65337,1,6076,36,8,1,6554
8674,1,1,1,28000,3,0,125441,5,3000,39,2,1,4497
8675,1,1,4,71764,6,0,176673,4,16287,42,8,0,38093
8676,0,0,4,47691,0,0,145963,0,13060,45,8,1,11075
8677,0,1,5,28000,6,0,103045,1,10257,26,1,3,6616
8678,1,1,4,124094,0,0,30000,6,38460,24,2,0,24501
8679,1,1,1,49307,0,0,39030,7,19804,35,5,0,4723
8680,1,1,3,28000,48,0,30000,8,25855,25,7,2,8315
8681,1,1,2,99418,0,0,144268,6,3000,27,8,0,4810
8682,1,1,3,61865,48,0,173643,0,3000,31,8,0,4606
8683,0,1,3,28000,0,1,33513,0,28413,42,9,1,4725
8684,0,0,3,28000,0,0,47964,5,43874,22,5,0,26763
8685,0,1,1,28000,0,0,144102,2,20318,35,2,0,5080
8686,1,1,4,28000,3,0,30000,1,40202,20,2,1,11186
8687,0,1,4,38414,0,1,30000,4,41640,36,5,1,1844
8688,1,1,4,66049,48,0,87129,2,26687,21,2,0,5163
8689,0,0,1,28000,3,0,111816,4,45427,28,4,1,8354
8690,0,1,4,88547,24,1,38796,1,3000,41,10,0,2136
8691,0,0,3,112751,3,0,51254,6,39627,27,9,1,4830
8692,0,0,4,47170,18,0,33022,3,39549,35,1,0,2225
8693,1,1,4,28000,6,0,30000,7,46327,38,2,1,10895
8694,1,0,4,31372,6,0,97889,3,37653,35,10,2,12545
8695,0,0,4,63514,0,0,134042,7,50443,33,1,0,8708
8696,0,1,5,87544,0,1,96194,7,30760,31,2,1,13563
8697,1,1,1,72651,0,0,30000,1,43002,37,8,0,37495
8698,0,1,4,150031,24,0,55511,6,3000,25,5,1,239
8699,0,1,4,150055,3,0,87403,7,8589,39,3,0,5110
8700,0,1,4,50162,0,0,230534,7,3000,33,4,0,5048
8701,1,1,2,74837,48,0,140167,6,24901,34,6,1,1632
8702,0,1,4,82195,24,0,166373,6,20921,34,7,0,40000
8703,1,1,4,74287,6,0,54869,8,79747,27,9,0,6578
8704,0,1,4,28000,3,0,111991,2,17333,39,8,1,4712
8705,0,1,3,47522,9,0,30000,6,11198,31,7,1,1644
8706,1,1,2,58083,24,0,45744,7,37115,32,8,0,5171
8707,1,1,4,108643,3,1,69092,6,74560,45,5,0,442
8708,0,1,3,28000,3,1,30000,2,33425,24,2,1,10774
8709,0,1,4,28000,9,0,170936,0,42307,35,4,1,9534
8710,1,0,4,39001,6,0,53984,10,3000,22,10,0,16302
8711,0,1,3,28000,6,0,71941,1,3000,28,8,0,10218
8712,0,0,4,28000,9,0,86040,0,24737,29,8,0,14813
8713,0,1,3,105344,0,0,31021,10,40138,26,4,0,2260
8714,1,1,4,79028,24,0,58467,5,76535,36,4,1,5348
8715,0,1,4,89327,0,0,52575,3,5509,36,5,0,21036
8716,1,1,1,40957,0,0,116111,5,53469,36,9,2,454
8717,0,1,3,117685,3,0,168338,6,39868,35,6,2,4541
8718,0,0,4,100305,18,0,64656,10,6350,40,3,2,506
8719,0,1,2,39520,3,1,35955,1,44454,34,8,0,9864
8720,1,1,3,66633,6,0,118834,10,96205,25,10,0,38707
8721,1,1,4,92719,3,0,30000,10,11440,34,7,0,19630
8722,0,1,3,61824,0,0,30000,3,24921,38,6,0,1886
8723,1,1,4,64211,18,0,103696,8,15711,30,7,0,6181
8724,1,0,4,28000,0,0,73060,9,24967,26,8,1,4751
8725,0,0,5,71033,3,0,30000,6,24041,36,3,0,1353
8726,0,1,4,28000,18,0,121672,5,3000,40,6,0,4639
8727,1,1,5,28000,24,0,71604,7,3000,28,5,1,8117
8728,0,1,4,78198,0,0,36342,0,3612,31,3,0,7419
8729,0,0,3,57543,0,2,76502,7,13377,24,7,0,11431
8730,1,1,4,63120,36,0,152681,0,71937,38,6,2,11471
8731,0,1,4,189820,6,0,30000,7,36133,38,10,0,21409
8732,1,1,4,85008,24,1,248989,5,3000,20,4,0,3360
8733,1,1,1,54085,12,0,52255,0,39513,21,7,1,4
8734,0,1,4,120495,0,0,62910,9,38017,27,3,1,10433
8735,0,0,2,28000,12,0,30000,2,44811,36,1,2,3428
8736,1,1,2,59173,3,0,30000,0,17510,23,10,1,11017
8737,0,0,4,83941,0,0,34458,3,20829,25,6,1,838
8738,1,1,3,44529,9,0,108402,0,13232,36,5,1,12368
8739,1,1,4,166647,0,0,183007,2,3000,35,9,2,31726
8740,0,1,3,67948,0,0,30000,0,21943,41,1,1,2293
8741,1,1,4,28000,9,0,41523,5,3000,40,5,0,319
8742,0,1,2,28000,0,0,38730,1,39180,36,2,2,39606
8743,0,0,5,107663,9,0,30000,8,55418,35,2,2,2021
8744,1,1,1,31760,3,0,30000,10,3000,29,5,1,5440
8745,0,0,4,50466,6,0,141613,8,61438,33,6,1,7661
8746,1,0,3,49457,9,1,88813,2,3000,23,1,2,2634
8747,0,1,4,81712,48,0,61129,3,33976,24,9,1,2684
8748,0,1,4,28000,18,0,130902,10,35546,33,2,1,7303
8749,0,1,3,28000,6,0,89265,5,30093,22,3,1,13343
8750,0,1,4,33459,0,0,45331,1,42606,25,6,2,6823
8751,0,1,4,56114,0,1,59643,7,24156,24,2,2,16974
8752,1,1,4,79976,6,0,157780,5,3000,34,7,0,6256
8753,1,1,1,28000,0,0,30000,10,58043,27,9,0,19608
8754,1,1,2,48237,0,0,186067,7,31185,40,3,0,2305
8755,1,1,3,152785,3,0,103211,10,25361,25,5,0,3306
8756,1,1,4,46855,3,0,30000,4,53943,35,6,0,12025
8757,0,1,3,28000,18,1,123090,10,45599,35,5,0,1327
8758,1,1,5,65179,0,0,66769,6,36056,32,2,1,3317
8759,0,1,3,93090,48,0,193790,6,9560,32,5,1,3327
8760,0,0,3,84219,36,0,101656,8,15171,38,2,0,21271
8761,1,1,4,28000,3,0,228023,7,15592,33,4,0,7096
8762,0,1,4,28000,3,0,54264,9,40709,42,4,1,16969
8763,0,1,4,55570,36,0,94718,8,3000,33,2,1,6504
8764,0,1,2,111804,9,0,102634,10,3000,39,5,1,413
8765,1,1,3,28000,0,0,30000,10,17112,29,2,0,3729
8766,1,1,2,53039,0,1,128570,7,63557,23,2,2,1241
8767,0,1,3,69487,18,1,146657,9,21772,22,7,2,4002
8768,1,1,4,92233,3,0,30000,3,12925,37,2,2,5866
8769,0,1,2,108050,3,0,81427,0,9139,37,5,1,3149
8770,1,1,4,133127,3,0,98408,2,12004,27,4,2,40000
8771,0,1,3,28000,3,1,95759,10,9323,27,10,0,12868
8772,0,0,1,40127,24,0,76269,7,3000,33,9,1,11879
8773,0,1,4,112879,3,1,30000,0,3000,22,4,0,9032
8774,1,1,4,104900,0,0,30000,1,3000,50,9,0,1884
8775,0,1,4,28000,12,0,41785,5,17194,37,2,1,2726
8776,0,0,1,108159,9,0,30000,2,16569,37,2,0,7269
8777,1,1,3,28000,6,1,139423,0,17734,38,2,0,635
8778,0,1,4,28000,36,0,71936,9,3000,36,5,0,1060
8779,1,1,3,34447,3,0,112075,3,34851,25,3,0,1247
8780,1,1,4,40823,6,0,44929,8,44903,37,1,0,136
8781,0,1,4,86641,0,0,99982,2,41112,35,7,2,945
8782,1,1,4,100020,3,0,72803,1,57044,42,4,1,6009
8783,1,1,4,51985,0,0,32833,4,61801,28,7,1,491
8784,1,1,4,28000,3,0,30000,9,22524,36,5,0,6382
8785,0,1,3,86894,0,0,30000,10,3000,35,10,2,8430
8786,1,1,4,99222,0,0,40779,9,11776,39,9,0,6163
8787,0,1,4,28000,24,0,137971,3,14060,36,5,0,14544
8788,0,1,4,28000,0,0,71510,9,3000,37,4,2,17253
8789,1,1,5,28000,3,0,36090,0,3000,37,5,2,9391
8790,1,1,4,28000,0,0,66172,8,50950,26,1,2,6962
8791,1,1,4,28000,6,0,114326,1,3000,27,9,0,1721
8792,1,1,3,80305,0,0,30000,10,15335,28,1,1,8311
8793,0,1,4,99672,6,0,69190,8,26687,22,3,1,12059
8794,1,0,3,93484,3,1,30000,0,3000,37,5,0,40000
8795,1,1,1,28000,24,0,55921,6,16404,28,6,1,3454
8796,1,1,5,38355,18,0,115005,9,3000,43,7,1,3405
8797,0,1,4,59027,3,0,30000,2,62088,28,8,2,3104
8798,1,0,4,33014,24,0,30000,0,59521,29,7,2,5442
8799,0,0,4,57195,3,0,177726,4,78015,41,2,0,16693
8800,0,1,4,129816,9,0,128866,5,7913,32,3,0,6408
8801,1,0,4,45293,0,0,30000,6,14995,32,9,0,19133
8802,0,0,4,36375,0,0,122003,7,3000,43,3,0,4099
8803,1,1,4,28000,36,0,54340,6,3000,39,8,1,1401
8804,0,1,1,28000,3,0,52296,4,26877,36,1,0,11972
8805,0,0,4,50305,6,0,156997,1,7321,33,2,1,21630
8806,0,1,5,68806,0,0,84401,10,3000,32,6,1,12436
8807,0,1,1,34568,24,0,42037,6,84469,37,5,0,15383
8808,1,0,4,40593,3,0,99590,0,25645,38,2,0,13005
8809,1,0,4,102391,24,0,106948,0,38430,28,10,2,1725
8810,1,1,5,28000,6,0,67708,3,14500,41,10,0,10617
8811,1,0,4,37536,24,0,73878,7,3000,36,1,1,11350
8812,1,1,4,130014,12,0,30000,6,3000,33,6,0,9036
8813,0,0,1,28000,3,0,30000,9,23898,30,8,1,14738
8814,1,1,4,44359,24,0,37287,2,52367,31,2,1,3293
8815,0,0,4,58704,9,0,107151,6,3000,45,2,0,35132
8816,1,1,4,28000,24,0,110197,5,7993,35,7,0,1828
8817,1,1,3,100766,12,0,99328,10,41089,39,5,2,2873
8818,0,1,2,45455,0,0,30000,5,3000,28,8,0,3548
8819,1,1,4,46955,3,0,30000,7,5268,37,1,0,6915
8820,1,1,3,32725,0,0,186982,4,34218,25,1,0,4723
8821,1,0,3,50825,3,1,30000,3,27151,34,1,2,6812
8822,1,1,4,28000,9,0,55780,5,44598,44,5,0,3434
8823,0,1,1,53550,0,1,175482,5,3000,35,1,1,40000
8824,0,1,2,28000,3,0,30000,4,3000,32,7,0,480
8825,1,0,4,28000,48,0,120475,2,17368,35,8,0,17368
8826,1,1,2,28000,3,2,30000,9,23100,28,9,1,1015
8827,0,1,3,28000,0,0,30000,1,3000,26,3,1,973
8828,1,1,3,88291,0,0,30000,5,29100,28,8,0,25187
8829,0,1,5,38879,3,2,140578,9,3000,35,7,0,40000
8830,1,0,4,46632,9,0,30000,9,30272,30,3,3,4944
8831,1,0,4,28000,0,1,154386,6,52225,30,9,2,130
8832,0,0,5,75674,12,0,30000,0,47537,23,9,0,715
8833,1,1,5,49673,0,0,30000,7,47554,24,2,1,1049
8834,0,1,4,55624,24,0,103117,7,39649,22,10,2,2006
8835,1,1,4,28000,6,0,130934,2,29768,36,5,0,547
8836,1,1,3,76242,0,0,97176,10,56462,32,2,2,832
8837,1,0,5,79091,3,0,121045,5,61281,42,6,0,8829
8838,1,1,4,37402,18,0,87501,3,11493,26,5,1,4704
8839,1,1,2,28000,12,0,89000,3,3000,26,7,1,16486
8840,0,1,4,111199,3,0,129337,3,34670,37,9,0,17953
8841,0,1,2,28000,0,0,30000,1,3000,38,8,1,863
8842,1,1,2,28000,0,0,30000,0,11585,28,10,1,769
8843,0,1,1,55592,0,0,84966,10,25729,41,5,0,2366
8844,1,0,4,41274,0,0,36768,2,3000,33,8,2,7869
8845,0,0,4,28000,0,0,129696,10,3000,33,7,0,6801
8846,1,1,1,40333,36,0,98995,3,3000,39,3,1,13091
8847,1,0,2,56744,18,0,142135,8,3000,36,10,0,1126
8848,1,1,4,28000,0,0,30000,0,3000,30,10,0,2149
8849,1,0,4,155314,18,0,30000,1,7030,35,10,1,2497
8850,1,0,5,66123,3,0,30000,0,33427,41,8,1,11622
8851,1,0,4,85947,0,0,75498,8,4947,37,5,1,95
8852,1,1,3,104236,9,0,30000,7,3000,32,9,1,63
8853,0,0,3,106922,48,0,158513,8,3000,38,2,2,3966
8854,0,1,4,28000,12,0,123264,1,46523,38,3,0,3642
8855,1,1,4,36763,12,0,64253,0,41092,43,10,1,2506
8856,0,1,2,119319,12,0,30000,1,79813,35,1,1,6306
8857,0,0,4,28000,0,0,158388,5,32302,34,5,0,11592
8858,0,0,4,74447,3,0,109937,3,38560,28,5,1,19688
8859,0,1,4,28000,0,0,79315,6,41336,31,5,0,1556
8860,1,1,4,175806,36,0,54764,5,3000,30,3,0,6260
8861,0,1,4,57722,18,1,30000,4,3000,31,1,1,16589
8862,1,0,3,67093,3,0,129478,10,67614,31,6,0,562
8863,0,1,1,52455,9,0,104544,6,28253,37,10,0,2169
8864,0,1,4,50263,0,0,30000,10,12285,35,1,0,31045
8865,0,1,4,28000,48,1,154218,10,41476,26,6,1,16198
8866,1,1,4,28000,24,0,75647,2,14037,39,2,1,10846
8867,1,0,2,28000,6,0,82180,10,16385,21,8,0,4241
8868,0,1,3,190702,0,1,30000,6,3000,28,8,0,2684
8869,0,0,2,28000,24,0,30000,0,3000,39,6,2,744
8870,1,1,3,137369,18,0,30000,8,31787,23,3,2,26570
8871,1,1,4,83934,48,0,42040,10,4673,27,8,1,2692
8872,1,0,4,28000,3,0,70659,2,61874,32,3,1,6557
8873,1,1,4,28000,3,1,174856,9,26077,41,7,0,15048
8874,1,0,4,36234,48,0,30000,4,48502,31,9,0,1125
8875,0,0,2,28000,3,0,66729,7,3000,36,2,1,14266
8876,1,0,4,84491,6,0,46989,3,29728,41,10,1,8404
8877,0,1,1,63646,0,0,109641,6,32781,38,2,2,8244
8878,1,1,3,28000,18,0,105708,7,21410,34,3,2,14696
8879,1,1,4,28000,9,0,184776,6,89653,32,1,1,354
8880,1,1,3,28000,3,1,30000,7,71903,30,5,0,5213
8881,1,0,4,51753,0,0,78541,4,38448,22,2,0,37767
8882,0,1,4,60258,18,1,122005,7,57273,28,7,1,4671
8883,1,1,4,28000,9,1,41096,9,27202,32,6,1,971
8884,1,1,4,29633,48,0,30000,6,23053,29,8,0,3988
8885,0,0,4,28000,0,0,30000,10,3000,39,7,2,5243
8886,1,1,4,28000,3,1,102552,9,13975,28,3,0,13571
8887,1,1,2,79165,48,1,81864,8,58327,34,8,1,22965
8888,0,1,4,28000,0,0,83972,8,7597,34,5,1,740
8889,0,1,4,108298,0,0,30000,0,75064,26,1,0,10636
8890,1,1,4,113783,3,0,111167,2,3000,33,5,0,6470
8891,1,1,2,30993,12,0,30000,1,39992,26,2,2,4366
8892,0,1,4,68171,48,1,150995,4,3000,32,7,0,7410
8893,0,1,4,145400,9,0,173193,10,3000,35,1,0,25056
8894,1,1,1,34835,3,0,151859,9,3040,23,10,0,4008
8895,1,1,3,37253,24,1,160897,9,37477,37,7,1,810
8896,1,1,4,119557,12,0,121425,6,81075,38,9,0,7538
8897,0,1,5,81951,0,0,92194,4,17636,31,2,0,9919
8898,1,1,4,81444,0,0,172065,10,38730,43,5,1,1651
8899,0,1,3,99570,3,0,30000,2,3000,32,2,0,23963
8900,0,1,4,64117,6,0,105298,0,50445,29,10,1,11325
8901,1,0,4,45072,0,0,95524,9,14458,37,3,1,3015
8902,0,0,5,53806,48,0,124810,0,40489,23,2,0,20025
8903,1,1,5,34149,3,0,185475,3,5339,39,5,0,987
8904,1,1,2,105723,0,1,150285,10,51412,36,8,1,5928
8905,0,1,2,83388,3,0,88373,5,3000,42,2,0,5582
8906,0,1,4,108440,12,1,60821,10,24529,29,2,0,812
8907,0,0,4,28000,6,0,150888,6,3000,36,2,4,1822
8908,0,1,4,85538,0,0,137692,6,7664,33,5,0,17417
8909,0,1,5,126568,3,0,195539,6,46756,37,6,1,12494
8910,0,1,1,28684,12,0,77361,4,3000,28,3,1,2021
8911,0,1,4,98713,36,0,56453,0,3000,29,3,1,1673
8912,1,1,4,63452,18,1,49260,2,37633,37,7,1,3752
8913,0,1,4,28000,9,0,152781,10,7375,31,9,0,9227
8914,0,1,1,28000,24,1,32156,4,45801,20,4,1,4907
8915,1,1,4,28000,3,0,198997,9,26030,33,3,0,3739
8916,1,0,4,43627,0,0,30000,2,73708,33,3,0,1019
8917,0,1,4,37515,6,0,102415,5,3000,38,7,0,12364
8918,1,0,3,102202,48,0,30000,2,50145,38,8,1,1344
8919,1,0,4,84518,6,0,66039,2,98972,25,5,0,885
8920,0,1,2,28000,3,0,119773,1,3000,36,7,0,6576
8921,0,1,4,28000,6,0,30000,2,3000,35,7,0,20269
8922,0,1,5,28000,0,0,133593,6,58264,26,9,1,16571
8923,0,1,4,62756,9,0,166063,0,5994,31,5,1,4702
8924,1,1,5,95698,0,0,137897,3,22327,29,8,0,19085
8925,1,0,4,35903,0,0,57476,7,43391,37,8,1,4169
8926,0,1,3,28000,9,0,30000,0,68101,28,3,3,3066
8927,0,1,5,94412,9,0,101288,0,25704,25,5,0,10047
8928,0,1,3,66432,6,0,38862,4,48754,39,6,1,6755
8929,1,0,4,35315,0,1,30000,1,87265,31,9,0,7115
8930,0,0,4,47201,0,0,47219,0,34478,22,8,0,1037
8931,1,1,5,28000,9,0,30000,9,63212,44,2,0,7781
8932,0,1,2,29755,0,0,30000,10,3000,42,5,1,8862
8933,1,1,4,28000,36,0,95923,6,7450,23,1,3,3333
8934,1,1,3,100577,6,0,158227,2,15652,26,7,0,1532
8935,1,0,4,107005,0,0,145550,1,3000,41,10,0,547
8936,0,1,4,28000,3,1,80990,1,47282,20,1,2,1097
8937,0,1,3,28000,0,0,66671,3,8757,40,8,1,8761
8938,0,1,4,28000,24,0,58933,0,3315,35,5,0,8086
8939,0,0,3,96255,24,0,92145,0,19747,34,5,2,3185
8940,0,0,4,56353,9,0,30000,0,12624,40,4,0,911
8941,0,0,4,92467,24,0,157221,0,28330,24,1,1,301
8942,1,1,4,28978,0,0,140693,0,24116,22,10,0,2613
8943,1,0,2,61698,0,0,86060,0,56272,23,2,0,3631
8944,1,0,4,76595,24,0,30000,3,76875,32,1,1,7303
8945,0,1,1,75086,0,0,30000,4,16900,37,3,0,8734
8946,1,1,4,59619,3,0,131883,0,3000,36,6,0,5320
8947,1,0,3,98107,18,0,30000,4,26836,25,3,1,2267
8948,0,1,2,75693,24,0,30000,2,69126,20,2,0,3314
8949,0,1,4,79685,9,0,189481,0,43955,32,9,0,4050
8950,0,0,4,28000,18,0,30000,5,40092,24,1,2,33991
8951,0,1,5,148807,0,0,221836,10,3000,23,6,1,7564
8952,1,1,4,28000,48,0,121716,4,29719,20,1,0,2887
8953,1,1,4,60577,18,0,62777,2,68760,37,10,0,29639
8954,0,1,4,78337,0,1,71563,0,36760,28,1,0,18736
